DESIGNATEDNAME,RIVER,AREAID,BOUNDARYSTATUS,CLASSIFICATION,OBJECTID,SHAPEAREA,SHAPELEN
"Palm Canyon Creek, California National Wild and Scenic River","Palm Canyon Creek, California",202,"Provisional, Subject to Change",Wild,159292,0.000963550986608,0.243973033084834
"Pecos, New Mexico National Wild and Scenic River","Pecos, New Mexico",110,"Provisional, Subject to Change",Wild,159293,0.00177347562866505,0.464537834681724
"Piru Creek, California National Wild and Scenic River","Piru Creek, California",199,"Provisional, Subject to Change",Wild,159294,0.0004559155476316,0.114487286222355
"Pratt River, Washington National Wild and Scenic River","Pratt River, Washington",210,"Provisional, Subject to Change",Wild,159295,0.0014686015650207,0.350423895709975
"Rapid, Idaho National Wild and Scenic River","Rapid, Idaho",009,Final,Wild,159296,0.0018662674375186,0.507244996636442
"Rapid, Idaho National Wild and Scenic River","Rapid, Idaho",011,Final,Wild,159297,0.002063269454075,0.555711208537468
"Red, Kentucky National Wild and Scenic River","Red, Kentucky",154,"Provisional, Subject to Change",Wild,159298,0.0004282722835258,0.291244093110972
"Richland Creek, Arkansas National Wild and Scenic River","Richland Creek, Arkansas",141,"Provisional, Subject to Change",Wild,159299,0.00048065498171435,0.14738184744821
"Rio Chama, New Mexico National Wild and Scenic River","Rio Chama, New Mexico",108,"Provisional, Subject to Change",Wild,159300,0.0011247760579563,0.312894909659429
"Rio Grande, New Mexico National Wild and Scenic River","Rio Grande, New Mexico",004,"Provisional, Subject to Change",Wild,159301,0.0004736949946185,0.30100029588393
"Rio Mameyes, Puerto Rico National Wild and Scenic River","Rio Mameyes, Puerto Rico",166A,"Provisional, Subject to Change",Wild,159302,0.00022528471045915,0.0740473292853225
"Roaring, Oregon National Wild and Scenic River","Roaring, Oregon",098,Final,Wild,159303,0.002116634156971,0.537930382113398
"Rogue, Oregon National Wild and Scenic River","Rogue, Oregon",005,"Provisional, Subject to Change",Wild,159304,0.0024028252276974,0.512740034037707
"Saint Joe, Idaho National Wild and Scenic River","Saint Joe, Idaho",023,Final,Wild,159305,0.0039194185663586,1.08901010608393
"Salmon, Idaho National Wild and Scenic River","Salmon, Idaho",016,Final,Wild,159306,0.0058109420689013,2.73371769730663
"Salmon, Idaho National Wild and Scenic River","Salmon, Idaho",024,Final,Wild,159307,0.00613969263327165,2.91062002355048
"Salmon, Oregon National Wild and Scenic River","Salmon, Oregon",099,Final,Wild,159308,0.00154304809175025,0.615427969858486
"Sandy, Oregon National Wild and Scenic River","Sandy, Oregon",100,Final,Wild,159309,0.00043110240692015,0.176682275440483
"Sespe Creek, California National Wild and Scenic River","Sespe Creek, California",142,Final,Wild,159310,0.00288315156870205,0.694872986123868
"Sipsey Fork West Fork, Alabama National Wild and Scenic River","Sipsey Fork West Fork, Alabama",066,"Provisional, Subject to Change",Wild,159311,0.0024754832425545,1.4377226804539
"Sisquoc, California National Wild and Scenic River","Sisquoc, California",143,Final,Wild,159312,0.00402643019758515,0.986654035443712
"Smith River, California National Wild and Scenic River","Smith River, California",111,Final,Wild,159313,0.0117253336562085,2.80455421451547
"Snake River Headwaters, Wyoming National Wild and Scenic River","Snake River Headwaters, Wyoming",206,Final,Wild,159314,0.0247811757873038,5.69926802355831
"Snake, Idaho and Oregon National Wild and Scenic River","Snake, Idaho and Oregon",010,"Provisional, Subject to Change",Wild,159315,0.0018449611200538,1.24410774185066
"Snake, Idaho and Oregon National Wild and Scenic River","Snake, Idaho and Oregon",012,"Provisional, Subject to Change",Wild,159316,0.0016185572873458,1.15670738221015
"South Fork Clackamas, Oregon National Wild and Scenic River","South Fork Clackamas, Oregon",171,"Provisional, Subject to Change",Wild,159317,0.0006188496632928,0.160441042832606
"South Fork Roaring, Oregon National Wild and Scenic River","South Fork Roaring, Oregon",174,"Provisional, Subject to Change",Wild,159318,0.00067145665569795,0.183456600599585
"Sturgeon, Michigan (Ottawa NF) National Wild and Scenic River","Sturgeon, Michigan (Ottawa NF)",129,"Provisional, Subject to Change",Wild,159319,0.0026487794139706,0.58123615420901
"Trinity, California National Wild and Scenic River","Trinity, California",SD11,Final,Wild,159320,0.0067293345087713,1.63778785308067
"Tuolumne, California National Wild and Scenic River","Tuolumne, California",053,Final,Wild,159321,0.0029247776945324,0.959744179908985
"Upper Rogue, Oregon National Wild and Scenic River","Upper Rogue, Oregon",104,"Provisional, Subject to Change",Wild,159322,0.0009930086577421,0.241318598618997
"Verde, Arizona National Wild and Scenic River","Verde, Arizona",051,"Provisional, Subject to Change",Wild,159323,0.0026768874066041,0.596547642110718
"Wasson Creek, Oregon National Wild and Scenic River","Wasson Creek, Oregon",215,"Provisional, Subject to Change",Wild,159324,0.0012247542612352,0.284210303550835
"Wenaha, Oregon National Wild and Scenic River","Wenaha, Oregon",105,"Provisional, Subject to Change",Wild,159325,0.00267582606723585,0.702388359739844
"White Salmon, Washington National Wild and Scenic River","White Salmon, Washington",027,Final,Wild,159326,0.00114014889241765,0.296800149883192
"Whitewater River, California National Wild and Scenic River","Whitewater River, California",230,"Provisional, Subject to Change",Wild,159327,0.0019658783555139,0.574659540728761
"Whychus Creek, Oregon National Wild and Scenic River","Whychus Creek, Oregon",102,"Provisional, Subject to Change",Wild,159328,0.00534992597327705,0.53076852600054
"Wilson Creek, North Carolina National Wild and Scenic River","Wilson Creek, North Carolina",161,"Provisional, Subject to Change",Wild,159329,0.0005700514199291,0.147193472307435
"Yellow Dog, Michigan National Wild and Scenic River","Yellow Dog, Michigan",132,Final,Wild,159330,0.0005224432426397,0.130416072097208
"Zig Zag River, Oregon National Wild and Scenic River","Zig Zag River, Oregon",175,"Provisional, Subject to Change",Wild,159331,0.0007071673352519,0.199206701140123
