DESIGNATEDNAME,RIVER,AREAID,BOUNDARYSTATUS,CLASSIFICATION,OBJECTID,SHAPEAREA,SHAPELEN
"Wilson Creek, North Carolina National Wild and Scenic River","Wilson Creek, North Carolina",161,"Provisional, Subject to Change",Recreational,159153,0.0018857264306857,0.421956874766171
"Au Sable, Michigan National Wild and Scenic River","Au Sable, Michigan",052,Final,Scenic,159154,0.00318212434230455,0.637210654221511
"Bear Creek, Michigan National Wild and Scenic River","Bear Creek, Michigan",119,Final,Scenic,159155,0.0008643233950748,0.229065703574139
"Big Piney Creek, Arkansas National Wild and Scenic River","Big Piney Creek, Arkansas",134,"Provisional, Subject to Change",Scenic,159156,0.00291118773012265,1.32918595803001
"Black Butte River, California National Wild and Scenic River","Black Butte River, California",168,Final,Scenic,159157,0.00055336176221495,0.156535948538104
"Black Creek, Mississippi National Wild and Scenic River","Black Creek, Mississippi",059,"Provisional, Subject to Change",Scenic,159158,0.0021662306806616,0.487979885633656
"Black, Michigan National Wild and Scenic River","Black, Michigan",120,Final,Scenic,159159,0.0020648499545759,0.459218281558769
"Buffalo, Arkansas National Wild and Scenic River","Buffalo, Arkansas",135,"Provisional, Subject to Change",Scenic,159160,0.00077307425015815,0.247182120069109
"Carp, Michigan National Wild and Scenic River","Carp, Michigan",071,Final,Scenic,159161,0.00104910526484575,0.312516905414321
"Chattooga, North Carolina, South Carolina and Georgia National Wild and Scenic River","Chattooga, North Carolina, South Carolina and Georgia",010,"Provisional, Subject to Change",Scenic,159162,0.00036149275629935,0.163611246047494
"Chetco, Oregon National Wild and Scenic River","Chetco, Oregon",069,Final,Scenic,159163,0.0011135209572861,0.268180606968557
"Clackamas, Oregon National Wild and Scenic River","Clackamas, Oregon",070,Final,Scenic,159164,0.00297374108097445,0.775523110255152
"Clarion, Pennsylvania National Wild and Scenic River","Clarion, Pennsylvania",157,"Provisional, Subject to Change",Scenic,159165,0.0024330781146277,0.614764703695158
"Collawash, Oregon National Wild and Scenic River","Collawash, Oregon",178,"Provisional, Subject to Change",Scenic,159166,0.0017754295481661,0.392931317579788
"Cossatot River, Arkansas National Wild and Scenic River","Cossatot River, Arkansas",136,Final,Scenic,159167,0.00111501927515125,0.613908266562339
"Deep Creek, California National Wild and Scenic River","Deep Creek, California",229,"Provisional, Subject to Change",Scenic,159168,0.00013139934554505,0.0655018757226492
"Deschutes, Oregon National Wild and Scenic River","Deschutes, Oregon",054,Final,Scenic,159169,0.00337259145274055,0.697934693709553
"Eagle Creek, Oregon (Wallowa-Whitman NF) National Wild and Scenic River","Eagle Creek, Oregon (Wallowa-Whitman NF)",075,"Provisional, Subject to Change",Scenic,159170,0.00100986299708785,0.274172220403247
"East Fork Jemez, New Mexico National Wild and Scenic River","East Fork Jemez, New Mexico",109,"Provisional, Subject to Change",Scenic,159171,0.00055639865725045,0.156876979232947
